"DT_NOTIFIC_epiyearweek","UF","epiyear","epiweek","SRAG","Tipo","Situation","mean","50%","2.5%","97.5%","L0","L1","L2","L3","Run date"
"2009W09","25",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","26",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","27",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","28",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","29",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","31",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","32",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","33",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","35",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","41",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","42",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","43",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","50",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","51",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","52",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","53",2009,9,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","BR",2009,9,0,"País","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","RegC",2009,9,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","RegL",2009,9,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","RegN",2009,9,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W09","RegS",2009,9,0,"Regional","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W10","11",2009,10,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W10","12",2009,10,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W10","13",2009,10,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W10","14",2009,10,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W10","15",2009,10,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
"2009W10","16",2009,10,0,"Estado","stable",0,0,0,0,1,0,0,0,2016-11-13
