UF,isoweek,SRAG2013
52,14,0.0777115744
52,15,0.1087962042
52,16,0.0932538893
52,17,0.1243385191
52,18,0.0777115744
52,19,0.1087962042
52,20,0.1709654637
52,21,0.1243385191
52,22,0.139880834
52,23,0.1554231488
52,24,0.0777115744
52,25,0.1243385191
52,26,0.1087962042
52,27,0.1709654637
52,28,0.2175924084
52,29,0.2331347233
52,30,0.1554231488
52,31,0.2020500935
52,32,0.1554231488
52,33,0.1709654637
52,34,0.0932538893
52,35,0.1243385191
52,36,0.2020500935
52,37,0.0932538893
52,38,0.2020500935
52,39,0.0621692595
52,40,0.1087962042
52,41,0.139880834
52,42,0.2331347233
52,43,0.2953039828
52,44,0.1554231488
52,45,0.1087962042
52,46,0.139880834
52,47,0.0310846298
52,48,0.0466269447
52,49,0.1243385191
52,50,0.0777115744
52,51,0.0777115744
52,52,0.0466269447
53,1,0.1075360936
53,2,0.0716907291
53,3,0.0358453645
53,4,0.0358453645
53,5,0.1433814581
53,6,0.1075360936
53,7,0
53,8,0.0358453645
53,9,0.1792268227
53,10,0.2867629162
53,11,0.2509175517
53,12,0.1433814581
53,13,0.1433814581
53,14,0.1792268227
53,15,0.2150721872
53,16,0.1792268227
53,17,0.2867629162
53,18,0.4301443744
53,19,0.3942990098
53,20,0.3584536453
53,21,0.4301443744
53,22,0.6452165616
53,23,0.5735258325
53,24,0.3584536453
53,25,0.3226082808
53,26,0.3584536453
53,27,0.2867629162
53,28,0.3584536453
53,29,0.4301443744
53,30,0.3942990098
53,31,0.2150721872
53,32,0.2509175517
53,33,0.2150721872
53,34,0.3584536453
53,35,0.1433814581
53,36,0.2867629162
53,37,0.2509175517
53,38,0.0716907291
53,39,0.0358453645
53,40,0.0716907291
53,41,0.0716907291
53,42,0.0358453645
53,43,0
53,44,0.1075360936
53,45,0
53,46,0.0716907291
53,47,0.0358453645
53,48,0.1075360936
53,49,0
53,50,0.0358453645
53,51,0.1075360936
53,52,0.1075360936
