UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo,dado,escala
RegS,95859350,0.04135795922986566,0,0.014683990113111372,0.05022938803469262,0.06154656963496584,18.0,15.0,23.0,11.0,1.0,17.0,2017,Regional Sul,Regional,sragflu,incidência
11,1805788,1.487752945655046,1,0.49999999999999994,2.1271352141102144,2.6829838712617233,,,,,,,2017,Rondônia,Estado,sragflu,casos
12,829619,1.7549855751376895,1,0.49999999999999994,2.4630029148064665,3.291420024510829,,,,,,,2017,Acre,Estado,sragflu,casos
13,4063614,1.7196135557372234,1,0.49999999999999994,2.2100738143980423,2.8109395100092454,,,,,,,2017,Amazonas,Estado,sragflu,casos
14,522636,1.5271874797686942,1,0.5000000000000001,2.0590720911619798,2.8405178932370245,,,,,,,2017,Roraima,Estado,sragflu,casos
15,8366628,5.807322403585962,0,1.3698102431539074,12.318083243114119,16.676739194301582,10.0,8.0,14.0,8.0,6.0,11.0,2017,Pará,Estado,sragflu,casos
16,797722,1.7107893360819724,1,0.49999999999999994,2.5607459756906144,3.3331451248630817,,,,,,,2017,Amapá,Estado,sragflu,casos
17,1550194,1.0630747407665222,1,0.5,1.092206099957143,2.0,,,,,,,2017,Tocantins,Estado,sragflu,casos
21,7000229,1.3490132501011827,1,0.5,1.892905036955997,2.4148591554614747,,,,,,,2017,Maranhão,Estado,sragflu,casos
22,3218485,2.357983070216068,1,0.49999999999999994,2.862395608260281,3.747233583441863,,,,,,,2017,Piauí,Estado,sragflu,casos
23,9021232,3.431471762474319,1,0.5,5.5039950563400115,7.124295993364027,,,,,,,2017,Ceará,Estado,sragflu,casos
24,3507003,2.27592157892919,1,0.5,3.4413171555855833,4.438329654724571,,,,,,,2017,Rio Grande do Norte,Estado,sragflu,casos
25,4025558,1.0329811394533113,1,0.49999999999999994,1.0511600815003204,2.0,,,,,,,2017,Paraíba,Estado,sragflu,casos
26,9473707,2.187354233237292,0,1.2951984561645415,3.4278589917540057,4.3671896012919795,28.0,8.0,46.0,6.0,3.0,8.0,2017,Pernambuco,Estado,sragflu,casos
27,3375382,1.2762915271831907,1,0.5,2.487433780868761,3.090871428496851,,,,,,,2017,Alagoas,Estado,sragflu,casos
28,2288116,1.305251871565951,1,0.5,1.9848923932375255,2.590151402599938,,,,,,,2017,Sergipe,Estado,sragflu,casos
29,15344447,2.9936036016099954,0,1.3707411755221672,3.6224296672681993,4.6313630879857675,22.0,7.0,48.0,8.0,1.0,11.0,2017,Bahia,Estado,sragflu,casos
31,21119536,5.19636777884594,0,2.7421682466094435,7.254973410847968,10.316749651913588,16.0,14.0,36.0,10.0,8.0,11.0,2017,Minas Gerais,Estado,sragflu,casos
32,4016356,1.2486286419625894,1,0.5,1.4377991047809442,2.0,,,,,,,2017,Espírito Santo,Estado,sragflu,casos
33,16718956,3.6419216091112574,0,2.8492795243545794,4.814214860104479,6.068844003867378,26.0,16.0,29.0,6.0,6.0,11.0,2017,Rio de Janeiro,Estado,sragflu,casos
35,45094866,14.379260808090825,0,8.411415176590246,27.34751737288159,43.86324080096856,17.0,17.0,19.0,10.0,8.0,10.0,2017,São Paulo,Estado,sragflu,casos
41,11320892,24.654159535488795,0,4.768233061469032,34.75761532073884,60.96620679888437,20.0,9.0,22.0,13.0,12.0,14.0,2017,Paraná,Estado,sragflu,casos
42,7001161,6.410307085339874,0,1.8539132618699976,9.028892004539841,11.179033870268963,24.0,18.0,26.0,10.0,5.0,15.0,2017,Santa Catarina,Estado,sragflu,casos
43,11322895,53.53301348673332,0,5.123802268293152,81.61876029332593,150.85881169858962,22.0,13.0,27.0,10.0,9.0,12.0,2017,Rio Grande do Sul,Estado,sragflu,casos
50,2713147,7.277640927529979,0,1.0942648218647428,9.287465837025803,15.134484665048458,20.0,19.0,21.0,11.0,6.0,14.0,2017,Mato Grosso do Sul,Estado,sragflu,casos
51,3344544,1.1886729015104907,1,0.5,1.8198742931135534,2.1901033393703164,,,,,,,2017,Mato Grosso,Estado,sragflu,casos
52,6778772,4.787274207939696,0,1.825707354347238,5.349079180793188,7.77558907785772,17.0,13.0,35.0,7.0,1.0,11.0,2017,Goiás,Estado,sragflu,casos
53,3039444,2.8666050958098848,1,0.5000000000000001,3.944187881293488,5.00152266545936,,,,,,,2017,Distrito Federal,Estado,sragflu,casos
BR,207660929,63.63616985012459,0,22.931893673927352,64.35686659147815,82.1252838007712,18.0,7.0,23.0,12.0,8.0,17.0,2017,Brasil,País,sragflu,casos
RegC,27644815,14.940479970933021,0,5.2672884673402125,15.340313106671461,21.755562246554717,15.0,8.0,33.0,9.0,8.0,18.0,2017,Regional Centro,Regional,sragflu,casos
RegL,67770757,7.801730381303096,0,3.9096391652366678,11.15767876134853,13.460782852622307,15.0,8.0,33.0,8.0,5.0,18.0,2017,Regional Leste,Regional,sragflu,casos
RegN,16386007,4.054274153881511,0,1.1270556103750236,5.175077080895234,6.591115325956627,10.0,9.0,22.0,6.0,3.0,9.0,2017,Regional Norte,Regional,sragflu,casos
RegS,95859350,39.64547089101423,0,14.075977476492826,48.149564879034116,58.99814159937562,18.0,15.0,23.0,11.0,1.0,17.0,2017,Regional Sul,Regional,sragflu,casos
11,1805788,0.057921945741792616,1,0.02768874308612085,0.07514161239570005,0.1107549723444834,,,,,,,2017,Rondônia,Estado,obitoflu,incidência
12,829619,0.15132141501445728,1,0.06026862933467049,0.18833004740828047,0.24582745571750664,,,,,,,2017,Acre,Estado,obitoflu,incidência
13,4063614,0.0369676059091184,1,0.012304318274324284,0.0456556417270666,0.058590093351990724,,,,,,,2017,Amazonas,Estado,obitoflu,incidência
14,522636,0.2822895286282758,1,0.09566887853113833,0.554666733309957,0.7930773248819255,,,,,,,2017,Roraima,Estado,obitoflu,incidência
15,8366628,0.04478575302622907,1,0.005976123236266749,0.055689014823767424,0.06972303923870428,,,,,,,2017,Pará,Estado,obitoflu,incidência
